"","Country","Year","Temperature.Change","Total.Grains.Cereals.Root.Production.Quantity.1000.MT","Total.Grains.Cereals.Root.Food.Supply.1000.MT","Total.Grains.Cereals.Root.Area.Harvested.1000.Ha","Population.Million","GDP.US.dollars.per.person","Gross.Domestic.Product.constant.prices.Percent.change","Food.Supply.Grain.Equiv.1000.MT.yr","Food.Supply.Grain.Equiv.kg.cap.yr","Grains.Cereals.Root.Food.Availability.per.capita.kg.cap.yr","Total.Grains.Cereals.Root.Export.Quantity.1000.MT","Total.Grains.Cereals.Root.Import.Quantity.1000.MT","Continent"
"1","Afghanistan","1980",0.583,3933.805,3950.905,3036.4,14.186,NA,NA,NA,NA,NA,0,17.1,"Asia"
"2","Afghanistan","1981",0.469,3763.13,3859.63,2926.7,13.984,NA,NA,NA,NA,NA,0,96.5,"Asia"
"3","Afghanistan","1982",-0.35,3602.788,3677.688,2817.1,13.673,NA,NA,NA,NA,NA,0,74.9,"Asia"
"4","Afghanistan","1983",0.134,3474.45,3553.953,2666,13.3,NA,NA,NA,NA,NA,0,79.503,"Asia"
"5","Afghanistan","1984",0.123,3306.778,3327.928,2580,12.932,NA,NA,NA,NA,NA,0,21.15,"Asia"
"6","Afghanistan","1985",0.237,3136.439,3194.863,2452.1,12.625,NA,NA,NA,NA,NA,0,58.424,"Asia"
"7","Afghanistan","1986",-0.105,2972.112,3081.285,2362,12.372,NA,NA,NA,NA,NA,0,109.173,"Asia"
"8","Afghanistan","1987",0.349,3286.108,3557.873,2510,12.183,NA,NA,NA,NA,NA,0,271.765,"Asia"
"9","Afghanistan","1988",0.872,2882.781,3115.565,2345,12.157,NA,NA,NA,NA,NA,0,232.784,"Asia"
"10","Afghanistan","1989",-0.167,2727.44,3009.261,2303.3,12.415,NA,NA,NA,NA,NA,0,281.821,"Asia"
"11","Afghanistan","1990",0.766,2594.111,3108.111,2266.3,13.032,NA,NA,NA,NA,NA,0,514,"Asia"
"12","Afghanistan","1991",-0.178,2612.4,3332.4,2361.669,14.07,NA,NA,NA,NA,NA,0,720,"Asia"
"13","Afghanistan","1992",-0.32,2320.1,3115.1,2263.5,15.472,NA,NA,NA,NA,NA,0,795,"Asia"
"14","Afghanistan","1993",0.172,2800.1,3630.1,2641.439,17.053,NA,NA,NA,NA,NA,0,830,"Asia"
"15","Afghanistan","1994",0.423,2985.5,3862.5,2770.8,18.554,NA,NA,NA,NA,NA,0,877,"Asia"
"16","Afghanistan","1995",0.363,2952.1,4050.1,2590.911,19.79,NA,NA,NA,NA,NA,0,1098,"Asia"
"17","Afghanistan","1996",-0.106,3102.1,3893.4,2704.73,20.685,NA,NA,NA,NA,NA,0,791.3,"Asia"
"18","Afghanistan","1997",0.48,3549.8,4243.8,2743.075,21.299,NA,NA,NA,NA,NA,0,694,"Asia"
"19","Afghanistan","1998",0.669,3726.15,4340.25,2804.534,21.752,NA,NA,NA,NA,NA,0,614.1,"Asia"
"20","Afghanistan","1999",1.178,3163.76,3957.76,2544.131,22.228,NA,NA,NA,NA,NA,0,794,"Asia"
"21","Afghanistan","2000",0.996,1784.052,3202.052,2420,22.856,NA,NA,NA,NA,NA,0,1418,"Asia"
"22","Afghanistan","2001",1.315,1988.061,3458.061,2108,23.677,NA,NA,NA,NA,NA,0,1470,"Asia"
"23","Afghanistan","2002",1.317,3607.796,4785.796,2252,24.64,209.0276399,NA,NA,NA,NA,0,1178,"Asia"
"24","Afghanistan","2003",0.598,5119.145,5995.145,3025.7,25.679,217.5066278,8.444,NA,NA,NA,0,876,"Asia"
"25","Afghanistan","2004",1.317,3410.155,4506.155,2684,26.693,211.4527857,0.671,NA,NA,NA,0,1096,"Asia"
"26","Afghanistan","2005",0.386,5264.829,6559.029,3050,27.615,227.2343297,11.83,NA,NA,NA,0,1294.2,"Asia"
"27","Afghanistan","2006",1.647,4458.847,5692.247,3009,28.421,233.0531077,5.361,NA,NA,NA,0,1233.4,"Asia"
"28","Afghanistan","2007",0.616,5596.78,6971.28,3041,29.146,258.4814011,13.34,NA,NA,NA,0,1374.5,"Asia"
"29","Afghanistan","2008",0.671,3658.04,6243.44,2734,29.84,261.5874176,3.863,NA,NA,NA,0,2585.4,"Asia"
"30","Afghanistan","2009",0.841,6295.15,8775.95,3213.6,30.578,308.9342575,20.585,NA,NA,NA,0,2480.8,"Asia"
"31","Afghanistan","2010",1.564,5699.24,6806.54,2982.5,31.412,326.093539,8.438,NA,NA,NA,0,1107.3,"Asia"
"32","Afghanistan","2011",1.342,4331.24,6581.64,2840.5,32.358,335.9135397,6.479,NA,NA,NA,0,2250.4,"Asia"
"33","Afghanistan","2012",0.102,6136.51,7388.51,3143.5,33.397,372.2825265,13.968,NA,NA,NA,0,1252,"Asia"
"34","Algeria","1980",0.278,2567.776695,6024.013443,3257.39,18.811,2701.497292,-5.4,1179.964073,347.6137432,206.5071516,0,3456.23674754,"Africa"
"35","Algeria","1981",0.247,1965.774252,4717.454889,2919.29,19.442,2692.233285,3,1268.983653,351.0955019,197.9601516,0,2751.68063645,"Africa"
"36","Algeria","1982",0.427,1629.625445,5780.096509,2643.04,20.096,2771.313458,6.4,1329.922459,347.1095406,196.5357004,0,4150.47106395,"Africa"
"37","Algeria","1983",0.648,1414.955573,5272.060246,2304.35,20.763,2827.130085,5.4,1469.959997,344.8823568,196.7980507,0.308101996,3857.10467323,"Africa"
"38","Algeria","1984",0.073,1594.689654,5775.462362,2741.97,21.433,2892.123512,5.6,1437.148178,338.3010945,191.7431281,0,4180.7727084,"Africa"
"39","Algeria","1985",0.57,3125.881353,8480.823027,3296.15,22.098,2908.87846,5.6,1665.385251,352.8406677,201.3001715,0.831336243,5354.94167474,"Africa"
"40","Algeria","1986",0.407,2610.060999,7225.669541,2967.76,22.754,2836.315304,-0.2,1609.818568,355.2661508,213.3947847,0.600456695,4615.60854224,"Africa"
"41","Algeria","1987",1.048,2297.974097,6196.805096,2826.59,23.398,2738.941679,-0.7,1591.600804,356.3327064,210.7421681,2.218760419,3898.83099917,"Africa"
"42","Algeria","1988",1.388,1267.207343,6674.294405,1906.14,24.035,2639.687801,-1.9,1602.084937,365.7531771,218.4584818,0.439241197,5407.08706216,"Africa"
"43","Algeria","1989",0.43,2259.764449,10390.83565,2742.23,24.668,2685.117282,4.8,1735.684752,374.2864339,217.2106968,0,8131.07120472,"Africa"
"44","Algeria","1990",1.314,1831.752091,6471.316497,2468.429,25.299,2639.091083,1.252,1652.132135,384.7498343,230.949959,0.113869784,4639.56440574,"Africa"
"45","Algeria","1991",0.078,4082.130235,8508.3789,3536.998,25.931,2543.872913,-1.2,1721.291449,391.0680331,239.8591439,0,4426.2486648,"Africa"
"46","Algeria","1992",-0.253,3623.871137,7568.305878,3637.767,26.558,2528.524101,1.6,1831.828307,379.6989338,222.3931131,0.72353413,3944.43474162,"Africa"
"47","Algeria","1993",0.618,1723.671873,8050.713628,2055.355,27.17,2419.666513,-2.102,1901.779662,393.3524783,235.3938918,0.527077712,6327.04175583,"Africa"
"48","Algeria","1994",0.796,1144.296468,7782.185369,1362.776,27.751,2347.686944,-0.9,1867.772305,357.5528273,207.990992,0.0303,6637.8889009,"Africa"
"49","Algeria","1995",0.649,2444.532168,6651.919984,2667.411,28.292,2390.300512,3.848,1886.384532,369.5061101,217.8473239,0.00255,4207.38781594,"Africa"
"50","Algeria","1996",0.906,5192.667043,9353.891149,3749.365,28.787,2445.515779,3.8,1856.669072,366.2560663,223.2749889,0.00279,4161.22410596,"Africa"
"51","Algeria","1997",1.122,1109.904084,7002.57281,1182.85,29.243,2433.862885,1.1,1853.560001,368.7143096,218.8951036,0,5892.66872687,"Africa"
"52","Algeria","1998",1.189,3306.797074,8956.729457,3644.197,29.674,2520.836456,5.098,2007.595397,366.1484434,225.9549427,0,5649.93238247,"Africa"
"53","Algeria","1999",1.579,2272.743758,8331.145315,1953.715,30.099,2564.769852,3.2,2161.191474,376.5622387,226.8189865,0.06,6058.40155625,"Africa"
"54","Algeria","2000",0.91,1238.460672,8598.731913,1130.737,30.534,2583.852181,3.8,2045.024488,379.793198,228.2062453,0,7360.27124105,"Africa"
