"","Temperature Change","Total Grains, Cereals and Root Production Quantity in 1000MT","Total Grains, Cereals and Root Food Supply in 1000MT","Total Grains, Cereals and Root Area Harvested in 1000Ha","Population in Millions","GDP in US dollars per person"
"1",1.317,3607.796,4785.796,2252,24.64,209.0276399
"2",0.598,5119.145,5995.145,3025.7,25.679,217.5066278
"3",1.317,3410.155,4506.155,2684,26.693,211.4527857
"4",0.386,5264.829,6559.029,3050,27.615,227.2343297
"5",1.647,4458.847,5692.247,3009,28.421,233.0531077
"6",0.616,5596.78,6971.28,3041,29.146,258.4814011
"7",0.671,3658.04,6243.44,2734,29.84,261.5874176
"8",0.841,6295.15,8775.95,3213.6,30.578,308.9342575
"9",1.564,5699.24,6806.54,2982.5,31.412,326.093539
"10",1.342,4331.24,6581.64,2840.5,32.358,335.9135397
"11",0.102,6136.51,7388.51,3143.5,33.397,372.2825265
"12",0.278,2567.776695,6024.013443,3257.39,18.811,2701.497292
"13",0.247,1965.774252,4717.454889,2919.29,19.442,2692.233285
"14",0.427,1629.625445,5780.096509,2643.04,20.096,2771.313458
"15",0.648,1414.955573,5272.060246,2304.35,20.763,2827.130085
"16",0.073,1594.689654,5775.462362,2741.97,21.433,2892.123512
"17",0.57,3125.881353,8480.823027,3296.15,22.098,2908.87846
"18",0.407,2610.060999,7225.669541,2967.76,22.754,2836.315304
"19",1.048,2297.974097,6196.805096,2826.59,23.398,2738.941679
"20",1.388,1267.207343,6674.294405,1906.14,24.035,2639.687801
"21",0.43,2259.764449,10390.83565,2742.23,24.668,2685.117282
"22",1.314,1831.752091,6471.316497,2468.429,25.299,2639.091083
"23",0.078,4082.130235,8508.3789,3536.998,25.931,2543.872913
"24",-0.253,3623.871137,7568.305878,3637.767,26.558,2528.524101
"25",0.618,1723.671873,8050.713628,2055.355,27.17,2419.666513
"26",0.796,1144.296468,7782.185369,1362.776,27.751,2347.686944
"27",0.649,2444.532168,6651.919984,2667.411,28.292,2390.300512
"28",0.906,5192.667043,9353.891149,3749.365,28.787,2445.515779
"29",1.122,1109.904084,7002.57281,1182.85,29.243,2433.862885
"30",1.189,3306.797074,8956.729457,3644.197,29.674,2520.836456
"31",1.579,2272.743758,8331.145315,1953.715,30.099,2564.769852
"32",0.91,1238.460672,8598.731913,1130.737,30.534,2583.852181
"33",1.946,2906.213062,9276.662029,2468.373,30.982,2663.947095
"34",1.329,2288.223127,9792.196774,1917.685,31.442,2771.971751
"35",1.668,4746.24499,10479.46782,2990.222,31.913,2927.696925
"36",1.07,4480.909429,11704.20047,3093.744,32.396,3008.061193
"37",1.346,4072.112564,11436.90699,2450.232,32.888,3137.881607
"38",1.482,4564.668658,11732.0153,2770.982,33.392,3143.059037
"39",1.31,3909.386734,11508.60778,2953.166,33.907,3200.561249
"40",1.282,2080.123349,10782.83896,1577.294,34.428,3215.169597
"41",1.044,6732.142381,14093.64222,3281.421,34.95,3220.990572
"42",2.359,5573.825944,14191.32578,2978.498,35.468,3288.211087
"43",1.492,5215.666615,15254.46645,2716.617,35.98,3325.696328
"44",1.238,6072.858362,15646.3582,3201.115,36.486,3387.800421
"45",0.69,821.2539641,1083.630331,1110.3,9.066,1504.160857
"46",0.167,873.0296905,1032.656202,1333.5,9.323,1503.652317
"47",0.707,908.0467838,1197.022965,1400.5,9.563,1581.722895
"48",0.557,880.8015381,1123.410808,1430.5,9.8,1629.905402
"49",-0.002,869.8125884,1105.349788,1409.75,10.053,1595.241742
"50",0.737,834.5996613,1174.760537,1189.809,10.335,1547.058959
"51",0.325,967.3415638,1358.95679,1326.743,10.654,1482.728373
"52",0.435,1082.328252,1347.855965,1482.042,11.003,1336.635091
"53",0.261,1000.977467,1343.226477,1665.159,11.372,973.8276397
"54",0.271,1128.931825,1684.214677,1383.432,11.743,976.0683638
"55",0.807,1223.82381,1734.074895,1263.353,12.105,1045.354462
"56",0.436,1392.203426,2041.358436,1340.317,12.453,1129.949853
"57",0.291,1271.664144,1823.927507,1341.681,12.792,1186.905527
"58",1.199,1652.756374,2131.454037,1471.251,13.138,1234.286453
"59",0.443,1585.770579,2258.013939,1421.027,13.512,1239.00408
"60",0.204,2033.89114,2713.876039,1497.888,13.926,1238.380551
"61",0.27,2508.747011,3099.869267,1604.045,14.388,1249.209203
"62",0.701,3006.060199,3804.051935,1842.373,14.89,1373.935443
"63",0.891,3070.860284,3955.104021,1994.641,15.42,1396.332116
"64",0.308,3136.167295,3990.570617,2343.053,15.957,1496.142562
"65",1.029,3992.600814,4798.728076,2500.991,16.489,1712.274804
"66",0.369,3913.441686,4641.56722,2494.544,17.01,2003.995436
